animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
74K,20.81,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
43N,17.0,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
3T5,5.12,5,lCb,young,-0.6727752838658568,0.0014122014202711426,True,young_enriched
37V,15.07,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
56R,14.95,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
1G8,7.88,5,lCb,young,0.14528650646950092,0.18236765655261458,False,neutral
97R,17.93,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
4Q6,3.22,5,lCb,young,-0.8363876419329285,8.715300193673338e-05,True,young_enriched
2V1,4.3,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
82V,16.01,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
56K,19.93,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
2Q0,3.21,5,lCb,young,-0.6727752838658568,0.0014122014202711426,True,young_enriched
56R,14.95,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
8M0,8.12,5,lCb,young,0.3088988645365725,0.18236765655261458,False,neutral
56R,14.95,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
55R,14.97,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
98V,16.03,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
2F2,11.04,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
2F2,11.04,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
2F2,11.04,5,lCb,old,-0.8363876419329285,8.715300193673338e-05,True,young_enriched
50P,15.59,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
7F0,11.2,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
5H6,11.03,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
4J6,7.15,5,lCb,young,0.3088988645365725,0.18236765655261458,False,neutral
4J6,7.15,5,lCb,young,-0.8363876419329285,8.715300193673338e-05,True,young_enriched
2I1,10.27,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
74K,20.81,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
43N,17.0,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
2S6,3.17,5,lCb,young,-0.6727752838658568,0.0014122014202711426,True,young_enriched
4S3,3.18,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
56R,14.95,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
46Z,13.97,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
4J6,7.15,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
4J6,7.15,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
2V1,4.3,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
2V1,4.3,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
0G3,9.1,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
0G3,9.1,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
0G3,9.1,5,lCb,young,0.3088988645365725,0.18236765655261458,False,neutral
82V,16.01,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
3R7,3.32,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
3R7,3.32,5,lCb,young,-1.0,8.715300193673338e-05,True,young_enriched
1G8,7.88,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
7M4,8.15,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
97R,17.93,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
4J6,7.15,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
41N,16.74,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
56K,19.93,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
37V,15.07,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
3D1,13.11,5,lCb,old,0.6361235806707156,0.006949644932214332,True,old_enriched
98V,16.03,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
2F2,11.04,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
50P,15.59,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
1L1,8.17,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
56K,19.93,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
43N,17.0,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
43N,17.0,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
43N,17.0,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
0B9,12.11,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
2C6,14.03,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
3R7,3.32,5,lCb,young,-0.8363876419329285,8.715300193673338e-05,True,young_enriched
3R7,3.32,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
50P,15.59,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
6L4,8.2,5,lCb,young,0.3088988645365725,0.18236765655261458,False,neutral
74K,20.81,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
82V,16.01,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
82V,16.01,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
82V,16.01,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
4S3,3.18,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
3D1,13.11,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
3T5,5.12,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
91O,15.86,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
7F0,11.2,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
5H6,11.03,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
4J6,7.15,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
43N,17.0,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
2S6,3.17,5,lCb,young,-0.6727752838658568,0.0014122014202711426,True,young_enriched
3D1,13.11,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
37V,15.07,5,lCb,old,-0.5091629257987853,0.01053098773402195,True,young_enriched
56R,14.95,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
3T5,5.12,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
97R,17.93,5,lCb,old,0.6361235806707156,0.006949644932214332,True,old_enriched
4J6,7.15,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
4J6,7.15,5,lCb,young,0.14528650646950092,0.18236765655261458,False,neutral
2I1,10.27,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
2V1,4.3,5,lCb,young,-0.6727752838658568,0.0014122014202711426,True,young_enriched
0G3,9.1,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
56K,19.93,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
8I6,9.9,5,lCb,young,0.3088988645365725,0.18236765655261458,False,neutral
2Q0,3.21,5,lCb,young,-1.0,8.715300193673338e-05,True,young_enriched
2S6,3.17,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
4S3,3.18,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
2S2,6.31,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
55R,14.97,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
3D1,13.11,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
3D1,13.11,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
1L1,8.17,5,lCb,young,-0.6727752838658568,0.0014122014202711426,True,young_enriched
1L1,8.17,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
43N,17.0,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
6L4,8.2,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
43N,17.0,5,lCb,old,0.6361235806707156,0.006949644932214332,True,old_enriched
43N,17.0,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
3R7,3.32,5,lCb,young,-1.0,8.715300193673338e-05,True,young_enriched
3R7,3.32,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
3R7,3.32,5,lCb,young,0.3088988645365725,0.18236765655261458,False,neutral
3T5,5.12,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
98V,16.03,5,lCb,old,-0.8363876419329285,8.715300193673338e-05,True,young_enriched
2F2,11.04,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
4Q6,3.22,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
4Q6,3.22,5,lCb,young,-0.8363876419329285,8.715300193673338e-05,True,young_enriched
5H6,11.03,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
4J6,7.15,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
1V8,4.31,5,lCb,young,-0.8363876419329285,8.715300193673338e-05,True,young_enriched
2V1,4.3,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
74K,20.81,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
82V,16.01,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
0B9,12.11,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
0B9,12.11,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
2C6,14.03,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
8I6,9.9,5,lCb,young,0.14528650646950092,0.18236765655261458,False,neutral
56R,14.95,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
3D1,13.11,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
3R7,3.32,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
50P,15.59,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
74K,20.81,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
3E4,11.99,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
5H6,11.03,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
5H6,11.03,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
4J6,7.15,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
4J6,7.15,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
4J6,7.15,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
6L4,8.2,5,lCb,young,0.14528650646950092,0.18236765655261458,False,neutral
6L4,8.2,5,lCb,young,0.14528650646950092,0.18236765655261458,False,neutral
2V1,4.3,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
3E4,11.99,5,lCb,old,0.6361235806707156,0.006949644932214332,True,old_enriched
6D9,13.11,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
6D9,13.11,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
8M0,8.12,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
8M0,8.12,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
3K1,9.01,5,lCb,young,0.47251122260364403,0.05173983214977405,False,neutral
56R,14.95,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
50P,15.59,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
50P,15.59,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
50P,15.59,5,lCb,old,0.6361235806707156,0.006949644932214332,True,old_enriched
8B3,13.09,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
8B3,13.09,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
42T,15.96,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
2F2,11.04,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
4J6,7.15,5,lCb,young,-0.8363876419329285,8.715300193673338e-05,True,young_enriched
2S6,3.17,5,lCb,young,-0.6727752838658568,0.0014122014202711426,True,young_enriched
37V,15.07,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
8M0,8.12,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
55R,14.97,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
97R,17.93,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
97R,17.93,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
6L4,8.2,5,lCb,young,0.47251122260364403,0.05173983214977405,False,neutral
43N,17.0,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
6L4,8.2,5,lCb,young,0.14528650646950092,0.18236765655261458,False,neutral
6L4,8.2,5,lCb,young,0.14528650646950092,0.18236765655261458,False,neutral
41N,16.74,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
82V,16.01,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
3E4,11.99,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
3R7,3.32,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
37V,15.07,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
3D1,13.11,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
98V,16.03,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
97R,17.93,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
8B3,13.09,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
2T6,5.18,5,lCb,young,0.14528650646950092,0.18236765655261458,False,neutral
4Q6,3.22,5,lCb,young,-0.6727752838658568,0.0014122014202711426,True,young_enriched
2I1,10.27,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
82V,16.01,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
43N,17.0,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
56R,14.95,5,lCb,old,-0.6727752838658568,0.0014122014202711426,True,young_enriched
55R,14.97,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
2F2,11.04,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
5H6,11.03,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
4J6,7.15,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
4J6,7.15,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
43N,17.0,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
43N,17.0,5,lCb,old,0.6361235806707156,0.006949644932214332,True,old_enriched
2C6,14.03,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
2Q0,3.21,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
2S6,3.17,5,lCb,young,-0.8363876419329285,8.715300193673338e-05,True,young_enriched
3R7,3.32,5,lCb,young,-1.0,8.715300193673338e-05,True,young_enriched
2S2,6.31,5,lCb,young,0.3088988645365725,0.18236765655261458,False,neutral
56R,14.95,5,lCb,old,0.6361235806707156,0.006949644932214332,True,old_enriched
98V,16.03,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
50P,15.59,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
97R,17.93,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
8B3,13.09,5,lCb,old,-0.3455505677317138,0.04803744351194319,True,neutral
6L4,8.2,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
43N,17.0,5,lCb,old,0.6361235806707156,0.006949644932214332,True,old_enriched
4Q6,3.22,5,lCb,young,-1.0,8.715300193673338e-05,True,young_enriched
4J6,7.15,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
4J6,7.15,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
2I1,10.27,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
74K,20.81,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
4S3,3.18,5,lCb,young,-1.0,8.715300193673338e-05,True,young_enriched
3K1,9.01,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
1G8,7.88,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
50P,15.59,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
8B3,13.09,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
43N,17.0,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
41N,16.74,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
82V,16.01,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
82V,16.01,5,lCb,old,-0.5091629257987853,0.01053098773402195,True,young_enriched
43N,17.0,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
43N,17.0,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
0B9,12.11,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
0B9,12.11,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
0B9,12.11,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
2S2,6.31,5,lCb,young,0.3088988645365725,0.18236765655261458,False,neutral
2S2,6.31,5,lCb,young,0.14528650646950092,0.18236765655261458,False,neutral
3K1,9.01,5,lCb,young,-0.018325851597570633,0.5938363460296966,False,neutral
55R,14.97,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
3D1,13.11,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
50P,15.59,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
8B3,13.09,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
31S,17.0,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
5H6,11.03,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
41N,16.74,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
2V1,4.3,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
7F0,11.2,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
3D1,13.11,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
3T5,5.12,5,lCb,young,-1.0,8.715300193673338e-05,True,young_enriched
6D9,13.11,5,lCb,old,0.6361235806707156,0.006949644932214332,True,old_enriched
3R7,3.32,5,lCb,young,-0.6727752838658568,0.0014122014202711426,True,young_enriched
3D1,13.11,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
5R4,6.25,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
6L4,8.2,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
5H6,11.03,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
82V,16.01,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
82V,16.01,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
43N,17.0,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
43N,17.0,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
4S3,3.18,5,lCb,young,-1.0,8.715300193673338e-05,True,young_enriched
8M0,8.12,5,lCb,young,-0.3455505677317138,0.04803744351194319,True,neutral
98V,16.03,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
2F2,11.04,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
4J6,7.15,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
4J6,7.15,5,lCb,young,-0.1819382096646422,0.3440380890897353,False,neutral
4J6,7.15,5,lCb,young,0.14528650646950092,0.18236765655261458,False,neutral
4J6,7.15,5,lCb,young,0.3088988645365725,0.18236765655261458,False,neutral
41N,16.74,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
8I6,9.9,5,lCb,young,-0.6727752838658568,0.0014122014202711426,True,young_enriched
55R,14.97,5,lCb,old,-0.1819382096646422,0.3440380890897353,False,neutral
55R,14.97,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
31S,17.0,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
4J6,7.15,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
2I1,10.27,5,lCb,old,-0.5091629257987853,0.01053098773402195,True,young_enriched
2V1,4.3,5,lCb,young,-0.5091629257987853,0.01053098773402195,True,young_enriched
82V,16.01,5,lCb,old,0.47251122260364403,0.05173983214977405,False,neutral
82V,16.01,5,lCb,old,-0.018325851597570633,0.5938363460296966,False,neutral
43N,17.0,5,lCb,old,0.3088988645365725,0.18236765655261458,False,neutral
43N,17.0,5,lCb,old,0.6361235806707156,0.006949644932214332,True,old_enriched
2C6,14.03,5,lCb,old,0.14528650646950092,0.18236765655261458,False,neutral
