animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
3D1,13.11,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
0G3,9.1,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
3T5,5.12,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
3D1,13.11,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
56K,19.93,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
43N,17.0,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
8I6,9.9,7,lCb,young,-0.541046511627907,0.004342538636939447,True,young_enriched
1L1,8.17,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
0G3,9.1,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
0G3,9.1,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
37V,15.07,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
7M4,8.15,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
46Z,13.97,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
4J6,7.15,7,lCb,young,-0.541046511627907,0.004342538636939447,True,young_enriched
41N,16.74,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
43N,17.0,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
2S6,3.17,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
1G8,7.88,7,lCb,young,-0.541046511627907,0.004342538636939447,True,young_enriched
98V,16.03,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
2F2,11.04,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
2I1,10.27,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
43N,17.0,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
3D1,13.11,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
97R,17.93,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
43N,17.0,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
0G3,9.1,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
43N,17.0,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
3T5,5.12,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
8M0,8.12,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
3D1,13.11,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
7M4,8.15,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
97R,17.93,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
2S6,3.17,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
2S6,3.17,7,lCb,young,-0.847015503875969,2.0268558398783887e-05,True,young_enriched
98V,16.03,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
97R,17.93,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
46Z,13.97,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
2I1,10.27,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
2I1,10.27,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
0G3,9.1,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
31S,17.0,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
0G3,9.1,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
82V,16.01,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
43N,17.0,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
98V,16.03,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
97R,17.93,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
1L1,8.17,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
2I1,10.27,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
3T5,5.12,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
3D1,13.11,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
97R,17.93,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
8I6,9.9,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
56R,14.95,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
3T5,5.12,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
2F2,11.04,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
6L4,8.2,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
6L4,8.2,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
43N,17.0,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
2S6,3.17,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
37V,15.07,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
97R,17.93,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
43N,17.0,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
56R,14.95,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
56K,19.93,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
37V,15.07,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
56R,14.95,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
3T5,5.12,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
2F2,11.04,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
97R,17.93,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
43N,17.0,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
97R,17.93,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
43N,17.0,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
2I1,10.27,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
43N,17.0,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
37V,15.07,7,lCb,old,0.5298449612403102,0.0,True,old_enriched
3D1,13.11,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
1L1,8.17,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
0G3,9.1,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
43N,17.0,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
43N,17.0,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
37V,15.07,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
98V,16.03,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
98V,16.03,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
2F2,11.04,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
8B3,13.09,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
6L4,8.2,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
82V,16.01,7,lCb,old,0.5298449612403102,0.0,True,old_enriched
0B9,12.11,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
8I6,9.9,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
56R,14.95,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
37V,15.07,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
56R,14.95,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
1G8,7.88,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
2F2,11.04,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
97R,17.93,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
2I1,10.27,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
0G3,9.1,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
2S6,3.17,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
97R,17.93,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
97R,17.93,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
43N,17.0,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
2S6,3.17,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
3D1,13.11,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
2F2,11.04,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
2F2,11.04,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
97R,17.93,7,lCb,old,-0.6940310077519379,0.000532049657968077,True,young_enriched
2T6,5.18,7,lCb,young,-0.6940310077519379,0.000532049657968077,True,young_enriched
2I1,10.27,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
1V8,4.31,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
8C9,12.12,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
2S6,3.17,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
56R,14.95,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
98V,16.03,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
97R,17.93,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
4J6,7.15,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
1L1,8.17,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
82V,16.01,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
56K,19.93,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
37V,15.07,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
37V,15.07,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
3T5,5.12,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
98V,16.03,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
7M4,8.15,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
0G3,9.1,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
43N,17.0,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
37V,15.07,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
3T5,5.12,7,lCb,young,-0.541046511627907,0.004342538636939447,True,young_enriched
2I1,10.27,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
43N,17.0,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
56R,14.95,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
56R,14.95,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
1G8,7.88,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
46Z,13.97,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
0G3,9.1,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
3D1,13.11,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
3D1,13.11,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
3D1,13.11,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
97R,17.93,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
0G3,9.1,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
43N,17.0,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
8I6,9.9,7,lCb,young,0.5298449612403102,0.0,True,old_enriched
37V,15.07,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
3D1,13.11,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
37V,15.07,7,lCb,old,0.5298449612403102,0.0,True,old_enriched
37V,15.07,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
2F2,11.04,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
7M4,8.15,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
7M4,8.15,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
43N,17.0,7,lCb,old,-0.541046511627907,0.004342538636939447,True,young_enriched
4J6,7.15,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
2I1,10.27,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
8C9,12.12,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
3D1,13.11,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
98V,16.03,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
97R,17.93,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
0G3,9.1,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
43N,17.0,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
43N,17.0,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
2S6,3.17,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
3D1,13.11,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
1G8,7.88,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
56R,14.95,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
97R,17.93,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
82V,16.01,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
3T5,5.12,7,lCb,young,0.22387596899224815,0.2718267038256904,False,neutral
56R,14.95,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
1G8,7.88,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
2F2,11.04,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
50P,15.59,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
7M4,8.15,7,lCb,young,0.22387596899224815,0.2718267038256904,False,neutral
7M4,8.15,7,lCb,young,0.3768604651162792,0.09037243476057766,False,neutral
97R,17.93,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
97R,17.93,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
1L1,8.17,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
1L1,8.17,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
43N,17.0,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
2S6,3.17,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
3T5,5.12,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
8M0,8.12,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
3T5,5.12,7,lCb,young,-0.541046511627907,0.004342538636939447,True,young_enriched
97R,17.93,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
2I1,10.27,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
82V,16.01,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
56K,19.93,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
8I6,9.9,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
37V,15.07,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
8M0,8.12,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
7M4,8.15,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
2T6,5.18,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
2T6,5.18,7,lCb,young,-0.6940310077519379,0.000532049657968077,True,young_enriched
0G3,9.1,7,lCb,young,-0.541046511627907,0.004342538636939447,True,young_enriched
0G3,9.1,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
82V,16.01,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
3T5,5.12,7,lCb,young,0.22387596899224815,0.2718267038256904,False,neutral
2F2,11.04,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
5H6,11.03,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
8I6,9.9,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
43N,17.0,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
0G3,9.1,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
56R,14.95,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
3D1,13.11,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
42T,15.96,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
82V,16.01,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
3D1,13.11,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
2F2,11.04,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
2I1,10.27,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
6L4,8.2,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
3D1,13.11,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
6L4,8.2,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
1L1,8.17,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
43N,17.0,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
3D1,13.11,7,lCb,old,0.3768604651162792,0.09037243476057766,False,neutral
97R,17.93,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
2I1,10.27,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
0G3,9.1,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
43N,17.0,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
37V,15.07,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
4J6,7.15,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
2I1,10.27,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
3D1,13.11,7,lCb,old,0.5298449612403102,0.0,True,old_enriched
98V,16.03,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
5H6,11.03,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
82V,16.01,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
8I6,9.9,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
2S6,3.17,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
3K1,9.01,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
3T5,5.12,7,lCb,young,0.22387596899224815,0.2718267038256904,False,neutral
50P,15.59,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
97R,17.93,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
82V,16.01,7,lCb,old,0.5298449612403102,0.0,True,old_enriched
5H6,11.03,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
2I1,10.27,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
0G3,9.1,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
3T5,5.12,7,lCb,young,-0.3880620155038759,0.08963263237902204,False,neutral
98V,16.03,7,lCb,old,0.5298449612403102,0.0,True,old_enriched
97R,17.93,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
97R,17.93,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
43N,17.0,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
5H6,11.03,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
2I1,10.27,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
82V,16.01,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
8I6,9.9,7,lCb,young,0.07089147286821713,0.2718267038256904,False,neutral
56R,14.95,7,lCb,old,-0.541046511627907,0.004342538636939447,True,young_enriched
3T5,5.12,7,lCb,young,0.22387596899224815,0.2718267038256904,False,neutral
2F2,11.04,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
7M4,8.15,7,lCb,young,-0.541046511627907,0.004342538636939447,True,young_enriched
43N,17.0,7,lCb,old,-0.6940310077519379,0.000532049657968077,True,young_enriched
1L1,8.17,7,lCb,young,-0.08209302325581389,0.23827210539650368,False,neutral
56K,19.93,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
8C9,12.12,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
56R,14.95,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
98V,16.03,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
43N,17.0,7,lCb,old,-0.08209302325581389,0.23827210539650368,False,neutral
5H6,11.03,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
5H6,11.03,7,lCb,old,-0.23507751937984492,0.08963263237902204,False,neutral
0G3,9.1,7,lCb,young,-0.23507751937984492,0.08963263237902204,False,neutral
56R,14.95,7,lCb,old,-0.3880620155038759,0.08963263237902204,False,neutral
56R,14.95,7,lCb,old,0.22387596899224815,0.2718267038256904,False,neutral
98V,16.03,7,lCb,old,0.07089147286821713,0.2718267038256904,False,neutral
